#,Latitude,Longitude,Pixel X,Pixel Y,Landmark
1,35.31349,-120.65192,2038 px,8093.5 px,1
2,35.31361,-120.65201,2035 px,7822 px,
3,35.31385,-120.65222,1953.5 px,7286.5 px,3
4,35.31405,-120.6523,2034.5 px,6996.5 px,
5,35.31435,-120.65245,2104 px,6423 px,
6,35.31462,-120.65247,2234.5 px,6108.5 px,
7,35.31475,-120.65242,2448 px,5780 px,
8,35.31469,-120.65227,2702 px,6169 px,
9,35.3146,-120.65197,2907.5 px,6398.5 px,
10,35.31502,-120.65234,2788.5 px,5501.5 px,6
11,35.31523,-120.6524,2866 px,5123 px,7
12,35.31544,-120.65247,2945 px,4720.09 px,
13,35.31566,-120.6525,3110 px,4378 px,9
14,35.31576,-120.65285,2748 px,3909.09 px,
15,35.31592,-120.65292,2789 px,3622 px,
16,35.31626,-120.65302,2967 px,2964 px,11
17,35.31631,-120.65344,2525 px,2766 px,
18,35.31644,-120.65363,2291 px,2250.09 px,
19,35.31619,-120.65376,1954 px,2549 px,13
20,35.31587,-120.65383,1542 px,3076.09 px,25
21,35.31663,-120.65382,2187 px,1716.09 px,15
22,35.31683,-120.654,2150 px,1282.09 px,
23,35.31473,-120.65281,1932 px,5719 px,32
24,35.31695,-120.65449,1531 px,613 px,17
25,35.31688,-120.6548,999 px,400.09 px,
26,35.31675,-120.65457,1259 px,850.09 px,20
27,35.31658,-120.65447,1236 px,1260.09 px,
28,35.31624,-120.65463,838 px,1672.09 px,
29,35.31602,-120.65473,439 px,2033.09 px,
30,35.3158,-120.65465,314 px,2569.09 px,
31,35.31571,-120.65449,464 px,2831.09 px,
32,35.31582,-120.65424,986 px,2841 px,24
33,35.31598,-120.65413,1246 px,2616.09 px,
34,35.31617,-120.65428,1175 px,2247.09 px,
35,35.31639,-120.65437,1274 px,1703.09 px,21
36,35.31631,-120.65407,1589 px,2073.09 px,22
37,35.31611,-120.65408,1409 px,2439.09 px,23
38,35.31585,-120.65401,1283 px,2964.09 px,
39,35.31567,-120.65414,942 px,3197.09 px,
40,35.31565,-120.65391,1248 px,3440.09 px,
41,35.3156,-120.65357,1662 px,3717.09 px,
42,35.31566,-120.65323,2124 px,3864.09 px,
43,35.31542,-120.65335,1809 px,4167.09 px,
44,35.31518,-120.65374,1083 px,4380.09 px,28
45,35.31538,-120.65372,1270 px,3950.09 px,
46,35.31516,-120.65325,1684 px,4672.09 px,
47,35.31528,-120.65293,2236 px,4639.09 px,
48,35.3155,-120.65297,2361 px,4377.09 px,
49,35.31505,-120.65283,2193 px,5131.09 px,30
50,35.31475,-120.65275,2143 px,5626 px,
51,35.3149,-120.65262,2306 px,5405.09 px,
52,35.31426,-120.65221,2347 px,6732 px,4
53,35.31452,-120.65202,2777 px,6474 px,5
54,35.31537,-120.65271,2609 px,4714 px,8
55,35.3152,-120.65308,2006 px,4663 px,29
56,35.31552,-120.65366,1456 px,3867 px,27
57,35.31547,-120.65388,1054 px,3623.67 px,26
58,35.31631,-120.65362,2196 px,2494 px,12
59,35.31658,-120.65397,1996 px,1754 px,14
60,35.31495,-120.6529,1896 px,5236 px,30
61,35.31415,-120.65236,2035 px,6806 px,
62,35.31424,-120.6524,2054 px,6594 px,
63,35.31445,-120.65245,2167 px,6259 px,35
64,35.31472,-120.65231,2517 px,5930 px,
65,35.31487,-120.65255,2371 px,5718 px,
66,35.31462,-120.65249,2294 px,5971 px,
67,35.31483,-120.65262,2251 px,5730 px,33
68,35.31488,-120.65274,2167 px,5466 px,31
69,35.31486,-120.65232,2680 px,5689 px,
70,35.31372,-120.65168,2534 px,7897 px,
71,35.31391,-120.65157,2807 px,7680 px,
72,35.31409,-120.6515,3078 px,7476 px,
73,35.31425,-120.6515,3228 px,7256 px,
74,35.31444,-120.65163,3243 px,6922 px,
75,35.31455,-120.65176,3168 px,6608 px,
76,35.31562,-120.653,2443 px,3969 px,10
77,35.31513,-120.65337,1477 px,4597 px,
78,35.3153,-120.65353,1503 px,4272 px,
79,35.31604,-120.65379,1759 px,2841 px,
80,35.31647,-120.65408,1709 px,1716 px,14
81,35.3137,-120.65217,1946 px,7626 px,2
82,35.31692,-120.65414,2046 px,963 px,16
83,35.317,-120.6543,1904 px,711 px,
84,35.31706,-120.65446,1836 px,427 px,
85,35.31715,-120.65467,1857 px,221 px,
86,35.31712,-120.65475,1653 px,146 px,18
87,35.31702,-120.65479,1386 px,196 px,
88,35.31695,-120.65524,836 px,46 px,19
89,35.31697,-120.65482,1158 px,251 px,
90,35.31651,-120.65374,2240 px,2015 px,
91,35.31667,-120.65463,1086 px,963 px,
92,35.31645,-120.65453,1055 px,1476 px,
93,35.31621,-120.65466,631 px,1840 px,
94,35.31624,-120.65431,1195 px,2050 px,
95,35.31567,-120.65431,720 px,3049 px,
96,35.31567,-120.65337,1925 px,3774 px,
97,35.31541,-120.65314,2072 px,4347 px,
98,35.31548,-120.65348,1692 px,3969 px,
99,35.31625,-120.65321,2725 px,2946 px,
100,35.31608,-120.65303,2781 px,3341 px,
101,35.31683,-120.65471,1181 px,668 px,
102,35.31512,-120.653,1987 px,4904 px,
103,35.31514,-120.65289,2207 px,4904 px,
104,35.31561,-120.65291,2530 px,4167 px,
105,35.31557,-120.65309,2296 px,4122 px,
106,35.31595,-120.65474,317 px,2223 px,
107,35.31573,-120.65392,1306 px,3306 px,
108,35.31612,-120.65382,1807 px,2661 px,13
109,-35.31635,-120.65371,2137 px,2322 px,
110,35.31596,-120.6538,1681 px,2977 px,
111,35.3158,-120.65387,1425 px,3156 px,
112,35.31623,-120.65407,1542 px,2261 px,
113,35.3164,-120.65414,1561 px,1895 px,22
114,35.31635,-120.65354,2373 px,2511 px,
115,35.31537,-120.6536,1461 px,4094 px,
116,35.31536,-120.65341,1692 px,4242 px,
117,35.31562,-120.65374,1487 px,3596 px,
118,35.3155,-120.65381,1283 px,3714 px,
119,35.31534,-120.65364,1340 px,4142 px,
120,35.31692,-120.65492,905 px,251 px,
121,35.31522,-120.65359,1349 px,4317 px,
122,35.31486,-120.65255,2390 px,5569 px,
123,35.31471,-120.65268,2110 px,5810 px,34
124,35.31294,-120.65207,-1000 px,-1000 px,
125,35.31313,-120.65196,-1000 px,-1000 px,
126,35.31326,-120.6519,-1000 px,-1000 px,
127,35.3126,-120.6519,-1000 px,-1000 px,
128,35.3152,-120.65365,1237 px,4377 px,
129,35.31511,-120.65355,1270 px,4530 px,
130,35.31673,-120.65391,2165 px,1526 px,
131,35.31664,-120.6545,1306 px,1107 px,
132,35.31699,-120.65443,1718 px,668 px,
133,35.31628,-120.65376,2071 px,2464 px,
